Date,Weekly_Sales,Store,Temperature,CPI,Unemployment
2010-02-05,1643690.9,1,42.31,211.0963582,8.106
2010-02-12,1641957.44,1,38.51,211.2421698,8.106
2010-02-19,1611968.17,1,39.93,211.2891429,8.106
2010-02-26,1409727.59,1,46.63,211.3196429,8.106
2010-03-05,1554806.68,1,46.5,211.3501429,8.106
2010-03-12,1439541.59,1,57.79,211.3806429,8.106
2010-03-19,1472515.79,1,54.58,211.215635,8.106
2010-03-26,1404429.92,1,51.45,211.0180424,8.106
2010-04-02,1594968.28,1,62.27,210.8204499,7.808
2010-04-09,1545418.53,1,65.86,210.6228574,7.808
2010-04-16,1466058.28,1,66.32,210.4887,7.808
2010-04-23,1391256.12,1,64.84,210.4391228,7.808
2010-04-30,1425100.71,1,67.41,210.3895456,7.808
2010-05-07,1603955.12,1,72.55,210.3399684,7.808
2010-05-14,1494251.5,1,74.78,210.3374261,7.808
2010-05-21,1399662.07,1,76.44,210.6170934,7.808
2010-05-28,1432069.95,1,80.44,210.8967606,7.808
2010-06-04,1615524.71,1,80.69,211.1764278,7.808
2010-06-11,1542561.09,1,80.43,211.4560951,7.808
2010-06-18,1503284.06,1,84.11,211.4537719,7.808
2010-06-25,1422711.6,1,84.34,211.3386526,7.808
2010-07-02,1492418.14,1,80.91,211.2235333,7.787
2010-07-09,1546074.18,1,80.48,211.108414,7.787
2010-07-16,1448938.92,1,83.15,211.1003854,7.787
2010-07-23,1385065.2,1,83.36,211.2351443,7.787
2010-07-30,1371986.6,1,81.84,211.3699032,7.787
2010-08-06,1605491.78,1,87.16,211.5046621,7.787
2010-08-13,1508237.76,1,87.0,211.6394211,7.787
2010-08-20,1513080.49,1,86.65,211.6033633,7.787
2010-08-27,1449142.92,1,85.22,211.5673056,7.787
2010-09-03,1540163.53,1,81.21,211.5312479,7.787
2010-09-10,1507460.69,1,78.69,211.4951902,7.787
2010-09-17,1430378.67,1,82.11,211.5224596,7.787
2010-09-24,1351791.03,1,80.94,211.5972246,7.787
2010-10-01,1453329.5,1,71.89,211.6719895,7.838
2010-10-08,1508239.93,1,63.93,211.7467544,7.838
2010-10-15,1459409.1,1,67.18,211.8137436,7.838
2010-10-22,1345454.0,1,69.86,211.8612937,7.838
2010-10-29,1384209.22,1,69.64,211.9088438,7.838
2010-11-05,1551659.28,1,58.74,211.9563939,7.838
2010-11-12,1494479.49,1,59.61,212.003944,7.838
2010-11-19,1483784.18,1,51.41,211.8896737,7.838
2010-11-26,1955624.11,1,64.52,211.7484333,7.838
2010-12-03,1548033.78,1,49.27,211.607193,7.838
2010-12-10,1682614.26,1,46.33,211.4659526,7.838
2010-12-17,1891034.93,1,49.84,211.4053124,7.838
2010-12-24,2387950.2,1,52.33,211.4051222,7.838
2010-12-31,1367320.01,1,48.43,211.4049321,7.838
2011-01-07,1444732.28,1,48.27,211.4047419,7.742
2011-01-14,1391013.96,1,35.4,211.4574109,7.742
2011-01-21,1327405.42,1,44.04,211.8272343,7.742
2011-01-28,1316899.31,1,43.83,212.1970577,7.742
2011-02-04,1606629.58,1,42.27,212.5668812,7.742
2011-02-11,1649614.93,1,36.39,212.9367046,7.742
2011-02-18,1686842.78,1,57.36,213.2478853,7.742
2011-02-25,1456800.28,1,62.9,213.535609,7.742
2011-03-04,1636263.41,1,59.58,213.8233327,7.742
2011-03-11,1553191.63,1,53.56,214.1110564,7.742
2011-03-18,1576818.06,1,62.76,214.3627114,7.742
2011-03-25,1541102.38,1,69.97,214.5999389,7.742
2011-04-01,1495064.75,1,59.17,214.8371664,7.682
2011-04-08,1614259.35,1,67.84,215.0743939,7.682
2011-04-15,1559889.0,1,71.27,215.2918561,7.682
2011-04-22,1564819.81,1,72.99,215.4599053,7.682
2011-04-29,1455090.69,1,72.03,215.6279544,7.682
2011-05-06,1629391.28,1,64.61,215.7960035,7.682
2011-05-13,1604775.58,1,75.64,215.9640526,7.682
2011-05-20,1428218.27,1,67.63,215.7339202,7.682
2011-05-27,1466046.67,1,77.72,215.5037878,7.682
2011-06-03,1635078.41,1,83.0,215.2736553,7.682
2011-06-10,1588948.32,1,83.13,215.0435229,7.682
2011-06-17,1532114.86,1,86.41,214.9980596,7.682
2011-06-24,1438830.15,1,83.58,215.0910982,7.682
2011-07-01,1488538.09,1,85.55,215.1841368,7.962
2011-07-08,1534849.64,1,85.83,215.2771754,7.962
2011-07-15,1455119.97,1,88.54,215.3611087,7.962
2011-07-22,1396926.82,1,85.77,215.4222784,7.962
2011-07-29,1352219.79,1,86.83,215.4834482,7.962
